bus0,bus1,voltage,s_nom,r,x,b,length,type
way/169722563-220,ES189-220,220,983.112,0.334942,1.680293,8.77e-05,11164.74,Al/St 240/40 2-bundle 220.0
way/60342307-220,ES140-220,220,491.556,1.048892,5.261941,6.87e-05,17481.53,Al/St 240/40 2-bundle 220.0
way/143207686-220,ES140-220,220,491.556,0.493316,2.474804,3.23e-05,8221.94,Al/St 240/40 2-bundle 220.0
way/27936937-400,ES249-400,400,1787.476,1.572161,12.891721,0.0002272,52405.37,Al/St 240/40 4-bundle 380.0
way/190907238-220,ES218-220,220,491.556,5.908498,29.640963,0.00038671,98474.96,Al/St 240/40 2-bundle 220.0
way/27936937-220,ES238-220,220,491.556,1.007908,5.056339,6.6e-05,16798.47,Al/St 240/40 2-bundle 220.0
ES270-220,ES261-220,220,491.556,1.320104,6.622521,8.64e-05,22001.73,Al/St 240/40 2-bundle 220.0
ES206-400,ES207-400,400,1787.476,0.089104,0.730654,1.29e-05,2970.14,Al/St 240/40 4-bundle 380.0
way/28400958-220,way/28308003-220,220,983.112,0.499435,2.505501,0.00013075,16647.85,Al/St 240/40 2-bundle 220.0
way/1153834517-400,ES203-400,400,3574.953,0.302413,2.479783,0.00017481,20160.84,Al/St 240/40 4-bundle 380.0
ES209-220,ES223-220,220,491.556,1.007008,5.051824,6.59e-05,16783.47,Al/St 240/40 2-bundle 220.0
way/74384031-400,way/28308003-400,400,1787.476,6.199838,50.83867,0.00089596,206661.26,Al/St 240/40 4-bundle 380.0
ES200-400,way/1153834517-400,400,3574.953,0.207827,1.704182,0.00012014,13855.14,Al/St 240/40 4-bundle 380.0
way/170485453-400,ES228-400,400,3574.953,0.31156,2.55479,0.0001801,20770.65,Al/St 240/40 4-bundle 380.0
ES210-400,way/983523978-400,400,3574.953,0.130804,1.072591,7.56e-05,8720.25,Al/St 240/40 4-bundle 380.0
way/983523978-220,way/28308003-220,220,983.112,0.370107,1.856705,9.69e-05,12336.91,Al/St 240/40 2-bundle 220.0
ES210-400,way/28308003-400,400,3574.953,0.077019,0.631555,4.45e-05,5134.59,Al/St 240/40 4-bundle 380.0
ES253-220,way/170671537-220,220,983.112,0.187684,0.941548,4.91e-05,6256.13,Al/St 240/40 2-bundle 220.0
