bus0,bus1,voltage,s_nom,r,x,b,length,type
way/42681484-380,way/274630377-380,380,3396.205,0.421666,3.457664,0.00024375,28111.09,Al/St 240/40 4-bundle 380.0
way/152973139-220,way/160929097-220,220,491.556,0.823292,4.130184,5.39e-05,13721.54,Al/St 240/40 2-bundle 220.0
way/24272339-380,way/23899043-380,380,3396.205,0.362616,2.973448,0.00020961,24174.37,Al/St 240/40 4-bundle 380.0
DE36-220,way/24262656-220,220,983.112,0.396792,1.990575,0.00010388,13226.41,Al/St 240/40 2-bundle 220.0
way/113546939-220,way/63114179-220,220,983.112,0.241917,1.213617,6.33e-05,8063.9,Al/St 240/40 2-bundle 220.0
way/150200540-380,way/29472852-380,380,1698.103,0.063302,0.519075,9.15e-06,2110.06,Al/St 240/40 4-bundle 380.0
way/82773910-380,way/54359256-380,380,3396.205,0.351469,2.882045,0.00020317,23431.26,Al/St 240/40 4-bundle 380.0
way/26472665-380,DE25-380,380,1698.103,2.990556,24.522559,0.00043218,99685.2,Al/St 240/40 4-bundle 380.0
way/26472665-220,way/27149550-220,220,491.556,6.240679,31.307407,0.00040845,104011.32,Al/St 240/40 2-bundle 220.0
way/1280840211-380,way/1128250707-380,380,3396.205,0.857876,7.034584,0.0004959,57191.74,Al/St 240/40 4-bundle 380.0
DE198-380,DE197-380,380,3396.205,0.17845,1.46329,0.00010315,11896.67,Al/St 240/40 4-bundle 380.0
way/32148946-220,DE139-220,220,983.112,0.098342,0.49335,2.58e-05,3278.07,Al/St 240/40 2-bundle 220.0
way/941453716-380,DE9-380,380,3396.205,0.763579,6.261347,0.00044139,50905.26,Al/St 240/40 4-bundle 380.0
way/23022100-380,DE76-380,380,3396.205,0.193315,1.58518,0.00011175,12887.64,Al/St 240/40 4-bundle 380.0
way/22796434-220,way/22767509-220,220,983.112,0.244922,1.228691,6.41e-05,8164.06,Al/St 240/40 2-bundle 220.0
DE144-380,way/22767509-380,380,3396.205,0.160236,1.313932,9.26e-05,10682.37,Al/St 240/40 4-bundle 380.0
way/31131320-380,way/41389594-380,380,1698.103,2.276136,18.664315,0.00032893,75871.2,Al/St 240/40 4-bundle 380.0
way/41389594-220,way/31131320-220,220,491.556,4.553612,22.843956,0.00029803,75893.54,Al/St 240/40 2-bundle 220.0
way/29374542-220,way/22796434-220,220,983.112,0.366435,1.838284,9.59e-05,12214.51,Al/St 240/40 2-bundle 220.0
way/797009308-380,way/206289192-380,380,3396.205,0.298599,2.448515,0.00017261,19906.63,Al/St 240/40 4-bundle 380.0
way/25306938-380,way/22720647-380,380,3396.205,0.252463,2.070197,0.00014594,16830.87,Al/St 240/40 4-bundle 380.0
way/25306938-380,DE8-380,380,3396.205,0.18389,1.5079,0.0001063,12259.35,Al/St 240/40 4-bundle 380.0
DE8-380,DE10-380,380,6792.41,0.080482,0.65995,0.00018609,10730.89,Al/St 240/40 4-bundle 380.0
way/37721677-380,way/48428875-380,380,3396.205,0.197567,1.620051,0.0001142,13171.15,Al/St 240/40 4-bundle 380.0
DE152-380,way/1245826064-380,380,1698.103,0.04622,0.379007,6.68e-06,1540.68,Al/St 240/40 4-bundle 380.0
way/23380800-220,DE79-220,220,491.556,0.550118,2.759761,3.6e-05,9168.64,Al/St 240/40 2-bundle 220.0
DE150-380,DE147-380,380,3396.205,0.194578,1.59554,0.00011248,12971.87,Al/St 240/40 4-bundle 380.0
DE150-380,DE148-380,380,3396.205,0.170271,1.396226,9.84e-05,11351.43,Al/St 240/40 4-bundle 380.0
way/22720647-220,way/28008024-220,220,983.112,0.085374,0.428291,2.24e-05,2845.79,Al/St 240/40 2-bundle 220.0
way/22761692-380,way/22761839-380,380,1698.103,0.145529,1.193339,2.1e-05,4850.97,Al/St 240/40 4-bundle 380.0
way/22761839-380,way/33816726-380,380,3396.205,0.253468,2.078442,0.00014652,16897.9,Al/St 240/40 4-bundle 380.0
DE198-380,DE199-380,380,1698.103,0.068326,0.56027,9.87e-06,2277.52,Al/St 240/40 4-bundle 380.0
way/395847307-380,way/160584794-380,380,3396.205,0.158033,1.295869,9.14e-05,10535.52,Al/St 240/40 4-bundle 380.0
way/274621059-220,way/787265962-220,220,491.556,0.881784,4.423616,5.77e-05,14696.4,Al/St 240/40 2-bundle 220.0
